,airline_sentiment,text,processed_text,label,label_doc2vec
6220,negative,@SouthwestAir #JamesAsworth has the worst corporate account manager #22 Brent. I will now take my 70plus flights to @Delta thank you,southwestair jamesasworth have the bad corporate account manager brent i will now take my plus flight to delta thank you,-1,0
13715,negative,"@AmericanAir flight from PHL to Austin Cancelled Flighted, headed to Houston, delayed, now have to pay to rent a car and drive 3 hrs to Austin",americanair flight from phl to austin cancelled flight head to houston delay now have to pay to rent a car and drive hr to austin,-1,0
7032,neutral,STAHHPPP!!! RT @JetBlue: Our fleet's on fleek. http://t.co/VHFJGneOZO,stahhppp rt jetblue our fleet on fleek,0,1
5765,negative,@SouthwestAir #delayed again! You're killing me Late Flightly!,southwestair delay again youre kill me late flightly,-1,0
13237,negative,@AmericanAir delayed flight six hours. Missed international connection= extra night in a hotel and still have to pay for a 15lb surfboardbag,americanair delay flight six hour miss international connection extra night in a hotel and still have to pay for a lb surfboardbag,-1,0
11931,positive,@AmericanAir thanks keep me updated just hope I make either of my connections to Killeen Tx,americanair thanks keep me updated just hope i make either of my connection to killeen tx,1,2
7071,neutral,Really ? 😑“@JetBlue: Our fleet's on fleek. http://t.co/V5QWkYXSW6”,really jetblue our fleet on fleek,0,1
1395,negative,"@united If you consider 50 mins for bags @ 10:00pm on a Sunday night ""as fast as they can"", you should reconsider what you think that means.",united if you consider min for bag pm on a sunday night as fast a they can you should reconsider what you think that mean,-1,0
7152,neutral,"Now put your baggage fees back on ""free."" RT @JetBlue: Our fleet's on fleek. http://t.co/oxsA8btVTB",now put your baggage fee back on free rt jetblue our fleet on fleek,0,1
39,negative,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,virginamerica your chat support be not work on your site,-1,0
2788,negative,@united so we fly into SFO and Honululu gets pushed back 3.5 hours and now it looks like more delays.  I beg of you plz sort this out soon!,unite so we fly into sfo and honululu get push back hour and now it look like more delay i beg of you plz sort this out soon,-1,0
748,neutral,@united I sent in my feedback.  Thank you.,united i send in my feedback thank you,0,1
1343,positive,@united I am impressed with your super-fast reply to @CGJase,united i be impress with your superfast reply to cgjase,1,2
13926,negative,@AmericanAir delta rerouted 6 of my bags onto aa977 MIA-CUR. How can I see if they made it onto the flight?,americanair delta rerouted of my bag onto aa miacur how can i see if they make it onto the flight,-1,0
10097,negative,"@USAirways if you mean by posted, no USAir empl to direct anyone, 800# not accepting calls, no contact from USAir re: rebook #greatjob",usairways if you mean by post no usair empl to direct anyone not accept call no contact from usair re rebook greatjob,-1,0
2853,neutral,@united Followback so I can DM plz,united followback so i can dm plz,0,1
5982,negative,@SouthwestAir please hire an efficiency consultant to manage your PHX baggage checkin. Way to many open kiosks with 100's of ppl waiting,southwestair please hire an efficiency consultant to manage your phx baggage checkin way to many open kiosk with s of ppl wait,-1,0
13355,negative,@AmericanAir there is two hour wait,americanair there be two hour wait,-1,0
8618,negative,@JetBlue but you guys should know that musicians are very sensitive about the safety of their instruments when flying. For good reason.,jetblue but you guy should know that musician be very sensitive about the safety of their instrument when fly for good reason,-1,0
4572,neutral,@SouthwestAir any word when the customer relations department will open back up?,southwestair any word when the customer relation department will open back up,0,1
5816,negative,@SouthwestAir why do you charge so much moving from a full flight to an earlier flight with seats available?  doesn't make sense to me.,southwestair why do you charge so much move from a full flight to an early flight with seat available doesnt make sense to me,-1,0
5507,neutral,@SouthwestAir So the upcoming RR changes/Deval is trying to tell me not to fly southwest anymore because i am loyal so far. i get it.,southwestair so the upcoming rr changesdeval be try to tell me not to fly southwest anymore because i be loyal so far i get it,0,1
6410,negative,@SouthwestAir she made it standby after her flight was Cancelled Flighted for no reason. Almost 4hrs Late Flight.  Conf# FVF9YW  SWRR# 298033455,southwestair she make it standby after her flight be cancel flight for no reason almost hr late flight conf fvfyw swrr,-1,0
12524,negative,"@AmericanAir pity that a machine replied, or perhaps my story not unusual. Expected better response given article in in-flight magazine.",americanair pity that a machine reply or perhaps my story not unusual expect well response give article in inflight magazine,-1,0
10126,negative,"@USAirways @msscottwg  ""That's unusual"" means we screwed up but will never admit to it!  #GoingForGreatnessFAIL",usairways msscottwg thats unusual mean we screw up but will never admit to it goingforgreatnessfail,-1,0
10003,negative,@USAirways flight 838 now leaving after 6 hour mechanical delay. Need lodging voucher and meals tonight in st Thomas who do I see?,usairways flight now leave after hour mechanical delay need lodge voucher and meal tonight in st thomas who do i see,-1,0
11435,negative,"@USAirways booked an award ticket recently, now same ticket is less miles. how do I contact you without using the online form or phone?",usairways book an award ticket recently now same ticket be less mile how do i contact you without use the online form or phone,-1,0
2372,negative,"@united Luckily, I had my disinfectant wipes and did your job for you. You're welcome. #badservice",united luckily i have my disinfectant wipe and do your job for you youre welcome badservice,-1,0
4910,neutral,@SouthwestAir I have followed you. Awaiting your DM.,southwestair i have follow you await your dm,0,1
10130,negative,"@USAirways @nburnside26  U hate delays, too?  But u have her $$ &amp; are holding her hostage!  #GoingForGreatnessFAIL",usairways nburnside u hate delay too but u have her amp be hold her hostage goingforgreatnessfail,-1,0
9760,neutral,@USAirways do you have an email??,usairways do you have an email,0,1
712,negative,@united it was UA flight 1001! Now I'm currently stuck in Portland because I missed my ride because of the 3 hour delay. #GetMartyHome,united it be ua flight now im currently stick in portland because i miss my ride because of the hour delay getmartyhome,-1,0
1957,negative,"@united Thank you for wasting my time &amp; money. Not only will I now arrive 5 hours Late Flight to my destination, but...",united thank you for waste my time amp money not only will i now arrive hour late flight to my destination but,-1,0
883,negative,@United how do you lose a gate checked bag DEN to ORD? Direct flight. Ugh.,united how do you lose a gate check bag den to ord direct flight ugh,-1,0
11309,negative,@USAirways you have most likely lost my business. Terrible experience! Too many times stuck on Tarmac and last min Cancelled Flightled flights. #Done,usairways you have most likely lose my business terrible experience too many time stick on tarmac and last min cancel flightled flight do,-1,0
5988,neutral,@SouthwestAir please please please choose me to go see @Imaginedragons   #DestinationDragons,southwestair please please please choose me to go see imaginedragons destinationdragons,0,1
8344,negative,@JetBlue is giving us free movies because apparently the dunkin donuts coffee is a safety hazard. #thingsyoucantmakeup #switch2SBux?,jetblue be give u free movie because apparently the dunkin donuts coffee be a safety hazard thingsyoucantmakeup switchsbux,-1,0
4514,neutral,"@SouthwestAir you should have assigned seating, because now my cousin &amp; I probably can't sit together on our flight tomorrow.. Thanks.",southwestair you should have assign seating because now my cousin amp i probably cant sit together on our flight tomorrow thanks,0,1
7731,positive,@JetBlue thank you!,jetblue thank you,1,2
7869,neutral,"@JetBlue may I check my 17-month-old child's fold-up crib for free on my flight tomorrow, similar to your policy for infant car seats?",jetblue may i check my monthold child foldup crib for free on my flight tomorrow similar to your policy for infant car seat,0,1
5476,positive,"@SouthwestAir Thanks so much. Appreciate your kindness in adjusting our reservation. Even during snowstorms, I still prefer Southwest. 👍",southwestair thanks so much appreciate your kindness in adjust our reservation even during snowstorm i still prefer southwest,1,2
5707,positive,@SouthwestAir please do. Hate having to fly a different airline. You're my fav.,southwestair please do hate have to fly a different airline youre my fav,1,2
4881,neutral,@SouthwestAir flights still going to DAL?,southwestair flight still go to dal,0,1
8145,neutral,@JetBlue Airways Hits New 12-Month High at $17.58 (JBLU) - WKRB News http://t.co/XvBjCzlMDA,jetblue airways hit new month high at jblu wkrb news,0,1
9846,negative,@USAirways 2nd February in a row- stranded us when we try to return from Cancun! No contact info- no way to rebook! #badcustomerservice,usairways nd february in a row strand u when we try to return from cancun no contact info no way to rebook badcustomerservice,-1,0
4584,negative,@SouthwestAir been all up and down the area where the pic was taken and don't see any albums.,southwestair be all up and down the area where the pic be take and dont see any album,-1,0
10026,negative,"@USAirways your customer service in Philly is deplorable, rude &amp; unprofessional gate agents after delays &amp; Cancelled Flightations #takingthistothetop",usairways your customer service in philly be deplorable rude amp unprofessional gate agent after delay amp cancel flightations takingthistothetop,-1,0
3712,negative,@united thanks I'll fill out the form that no one reads or responds to.,united thanks ill fill out the form that no one read or respond to,-1,0
12985,positive,@AmericanAir thank you for the assistance,americanair thank you for the assistance,1,2
12426,negative,"@AmericanAir If you are sorry, answer my claims (AA Ref#1-2990176298, 1-3001885409 and : 1-3001885409) accordingly, without using ""weather""",americanair if you be sorry answer my claim aa ref and accordingly without use weather,-1,0
6631,negative,@SouthwestAir no had to rebook my flight myself and am about to board in bham.,southwestair no have to rebook my flight myself and be about to board in bham,-1,0
8054,negative,@JetBlue's CEO battles to appease passengers and Wall Street - Waterbury Republican American http://t.co/Ur60Un86gy,jetblues ceo battle to appease passenger and wall street waterbury republican american,-1,0
12963,negative,"@AmericanAir AA1675 now that the airplane has been sitting here for over 24 hrs,there are mechanical problems.BTW,the AA desk is unorganized",americanair aa now that the airplane have be sit here for over hrsthere be mechanical problemsbtwthe aa desk be unorganized,-1,0
4332,negative,@SouthwestAir your agents were the ones who were rude and unhelpful and prompted my initial tweet. This is so easy to fix.,southwestair your agent be the one who be rude and unhelpful and prompt my initial tweet this be so easy to fix,-1,0
10885,negative,"@USAirways I've been on hold for 35 mins to sort out my reservation out of sync message when trying to check in, what's wrong?!?",usairways ive be on hold for min to sort out my reservation out of sync message when try to check in whats wrong,-1,0
4953,neutral,@SouthwestAir when are the two free flights promo coming back?! Looking into the premiere card but might hold off or go with another option!,southwestair when be the two free flight promo come back look into the premiere card but might hold off or go with another option,0,1
4342,neutral,@SouthwestAir can you update me on the emergency landing in Jacksonville right now? #parentsonboard,southwestair can you update me on the emergency landing in jacksonville right now parentsonboard,0,1
3728,negative,@united thanks for not letting me switch flights Bc I had a checked bag then Cancelled Flighting my flight forcing me to take another 3 hrs Late Flightr!,united thanks for not let me switch flight bc i have a check bag then cancel flight my flight force me to take another hr late flightr,-1,0
5933,negative,@SouthwestAir Is your BWI-SJD service seasonal? Wasn't part of extension. Called intl desk. They didn't know. Want to fly in Sept on Sat.,southwestair be your bwisjd service seasonal wasnt part of extension call intl desk they didnt know want to fly in sept on sat,-1,0
11037,negative,@USAirways thank you for continuing to be the worst airline out. Didn't need that extra hour of sleep after 29 hours of travel anyway,usairways thank you for continue to be the bad airline out didnt need that extra hour of sleep after hour of travel anyway,-1,0
5413,negative,@SouthwestAir Cancelled Flightled my flight won't refund me and told me 2 call customer service n been holding for 30 minutes still waitin #BadService,southwestair cancel flightled my flight wont refund me and tell me call customer service n be hold for minute still waitin badservice,-1,0
1431,neutral,@united I just booked a flight for (2). When I view my reservation it has MI connected to First name. Is this a problem? can it be changed?,united i just book a flight for when i view my reservation it have mi connect to first name be this a problem can it be change,0,1
6143,positive,@SouthwestAir thx - fingers crossed they are found.,southwestair thx finger cross they be find,1,2
9968,negative,@USAirways customer service fail... Todays experience will ensure I do my best NEVER to utilize you again...,usairways customer service fail today experience will ensure i do my best never to utilize you again,-1,0
8850,neutral,@JetBlue is bag check cut off 30 minutes before the original departure time or the estimated time shown online?,jetblue be bag check cut off minute before the original departure time or the estimated time show online,0,1
8142,positive,@JetBlue PDX to JFK was suuuuper HOT.,jetblue pdx to jfk be suuuuper hot,1,2
2944,negative,"@united United Club team is A+ &amp; got me a seat Late Flightr. Still, not sure why a last min UAL Cancelled Flightlation costs me $ yet overbooked folks get $?",united united club team be a amp get me a seat late flightr still not sure why a last min ual cancel flightlation cost me yet overbooked folk get,-1,0
3067,negative,@united can you help me with a delayed flight as im going to miss my connection?,united can you help me with a delayed flight a im go to miss my connection,-1,0
6034,negative,@SouthwestAir is main supporter of play where Jesus is portrayed as homosexual partner of Judas and who performs a “gay wedding” #boycott,southwestair be main supporter of play where jesus be portray a homosexual partner of juda and who perform a gay wedding boycott,-1,0
8398,negative,"@JetBlue No, he didn't have more info. I was more infuriated by the way previous rep treated me. how she can possibly work as a JetBlue rep?",jetblue no he didnt have more info i be more infuriated by the way previous rep treat me how she can possibly work a a jetblue rep,-1,0
10658,negative,@USAirways REALLY? Tried that already-got message not available to do. Next idea?,usairways really try that alreadygot message not available to do next idea,-1,0
6473,neutral,@SouthwestAir how are flights looking for tomorrow morning from #Nashville (BNA) to Fort Lauderdale (FLL) ?!,southwestair how be flight look for tomorrow morning from nashville bna to fort lauderdale fll,0,1
1236,negative,@united Flight 683 last night was #bad4business. Will be a long time before I recommend United to anyone.,united flight last night be badbusiness will be a long time before i recommend unite to anyone,-1,0
5000,negative,"@SouthwestAir - neveryamind I paid $450 for a flight. 250 for a new bag is easy for business class customers, right? http://t.co/vn3JJIa53O",southwestair neveryamind i pay for a flight for a new bag be easy for business class customer right,-1,0
12531,negative,@AmericanAir does not know the meaning of customer service. Nightmare. Paid for direct flight. Bumped to Dallas. Flight Cancelled Flighted. Terrible,americanair do not know the meaning of customer service nightmare pay for direct flight bump to dallas flight cancel flight terrible,-1,0
8958,negative,@JetBlue A flight delay due to pilots oversleeping is apparently an uncontrollable irregularity that is not eligible for delay compensation.,jetblue a flight delay due to pilot oversleep be apparently an uncontrollable irregularity that be not eligible for delay compensation,-1,0
5264,negative,@SouthwestAir been on hold for 30 min trying to rebook my flight you Cancelled Flightled. Help?!,southwestair be on hold for min try to rebook my flight you cancel flightled help,-1,0
34,positive,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,virginamerica this be great news america could start flight to hawaii by end of year via pacificbiznews,1,2
13104,negative,@AmericanAir Also do you have any way to speak to someone on the phone? Your 1-800 # has been hanging up on me all day.,americanair also do you have any way to speak to someone on the phone your have be hang up on me all day,-1,0
1783,negative,"@united 

There must be 100 people waiting in line for customer service at DEN to deal with flight Cancelled Flightations.",united there must be people wait in line for customer service at den to deal with flight cancel flightations,-1,0
3236,neutral,@United line up @iah #IAH @AirlineGeeks #avgeek http://t.co/dJHXvJT201,united line up iah iah airlinegeeks avgeek,0,1
5460,neutral,@SouthwestAir it was 3472,southwestair it be,0,1
429,positive,"@VirginAmerica , am I dreaming? Did you really just open up a route between Dallas and Austin?! And does this mean Houston might be next?",virginamerica be i dreaming do you really just open up a route between dallas and austin and do this mean houston might be next,1,2
7543,neutral,@JetBlue 795 to Austin,jetblue to austin,0,1
10085,negative,@USAirways 4097 DCA to BNA. Just told they need to do 1.5 hrs worth of maintenance. Was supposed to leave at 8:50 am. [sigh],usairways dca to bna just tell they need to do hrs worth of maintenance be suppose to leave at be sigh,-1,0
2748,positive,@united wins top marks for customer service via Twitter. They turned a poor experience into a positive. Many thanks for the effort! 👍,united win top mark for customer service via twitter they turn a poor experience into a positive many thanks for the effort,1,2
5198,negative,"@SouthwestAir - Hi. My flight confirmation # is fwwe7f. We are currently stuck in Norfolk, Va. Trying to get to LGA in NYC. Ant updates? Thx",southwestair hi my flight confirmation be fwwef we be currently stick in norfolk va try to get to lga in nyc ant update thx,-1,0
12324,negative,@AmericanAir I understand the need to drain the lavatory fearing freezing but why no policy on checking that before boarding? smh come on...,americanair i understand the need to drain the lavatory fear freeze but why no policy on check that before board smh come on,-1,0
3902,positive,"@united cool, thanks.",united cool thanks,1,2
13176,negative,@AmericanAir now the second flight I was put on was Cancelled Flightled with no explanation!! Missed my first meeting!!#outraged😡😡,americanair now the second flight i be put on be cancel flightled with no explanation miss my first meetingoutraged,-1,0
2818,negative,"@united not 100% sure, however my ticket included one checked bag, therefore this charge was extra and completely unanticipated.",united not sure however my ticket include one check bag therefore this charge be extra and completely unanticipated,-1,0
13943,negative,@AmericanAir pathetic service,americanair pathetic service,-1,0
5366,negative,"@SouthwestAir I thank you for the reply but too complicated to DM, really would like to talk to a cust rep. What is going on there?",southwestair i thank you for the reply but too complicate to dm really would like to talk to a cust rep what be go on there,-1,0
14559,negative,@AmericanAir hey there me again from yesterday im still on hold,americanair hey there me again from yesterday im still on hold,-1,0
2200,negative,@united How does that make a flight takeoff on time? And regardless it makes me Late Flight because now I have to wait for my bag at baggage claim.,united how do that make a flight takeoff on time and regardless it make me late flight because now i have to wait for my bag at baggage claim,-1,0
9145,positive,"@usairways great crew for flight 504 PHX to YVR tonight! Friendly, efficient. Awesome job.",usairways great crew for flight phx to yvr tonight friendly efficient awesome job,1,2
9685,negative,@USAirways doesn't let u do stand by on flight due to checked bag causing u to get in 5 hours Late Flightr only to get to PHL &amp; bag didn't make it,usairways doesnt let u do stand by on flight due to check bag cause u to get in hour late flightr only to get to phl amp bag didnt make it,-1,0
3495,negative,@united we booked at the same time AND he called was told confirmed we were linked. Even after he had to make changes to his rez.,united we book at the same time and he call be tell confirm we be link even after he have to make change to his rez,-1,0
